feature,importance
sqft_living,0.5301328032966856
zip_target_enc,0.2880976734782021
view,0.03700286160795506
city_target_enc,0.02855094970855972
house_age,0.015143175756406297
sqft_living_per_bathroom,0.013230739955148845
sqft_basement,0.01227042252269223
bath_bed_ratio,0.012084066710963544
years_since_renovation,0.011888425763501364
sqft_lot,0.0110257401554303
bathrooms,0.009482423440078854
lot_to_living_ratio,0.009362486793323762
total_rooms,0.008090627481253523
waterfront,0.005681548951237859
floors,0.0024493964129798833
condition,0.002134196243880911
is_renovated,0.0017931302903321398
bedrooms,0.0015793314313681534
