price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,house_age,is_renovated,years_since_renovation,city_freq,zip
376000.0,3.0,2.0,1340,1384,3.0,0,0,3,0,6,0,6,0.3436640839790053,98103
800000.0,4.0,3.25,3540,159430,2.0,0,0,3,0,7,0,7,0.004498875281179705,98014
2238888.0,5.0,6.5,7270,130017,2.0,0,0,3,850,4,0,4,0.039990002499375156,98029
324000.0,3.0,2.25,998,904,2.0,0,0,3,200,7,0,7,0.3436640839790053,98117
549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1460,35,0,35,0.3436640839790053,98146
320000.0,3.0,2.5,2130,6969,2.0,0,0,3,0,11,0,11,0.021994501374656337,98038
875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1120,93,1,7,0.3436640839790053,98103
265000.0,4.0,1.0,1940,9533,1.0,0,0,3,860,52,1,11,0.03899025243689078,98031
394950.0,3.0,2.5,1350,1250,3.0,0,0,3,80,8,0,8,0.3436640839790053,98136
842500.0,4.0,2.5,2160,5298,2.5,0,0,4,0,112,0,112,0.3436640839790053,98122
368000.0,3.0,2.5,1370,1350,2.0,0,0,3,360,7,0,7,0.3436640839790053,98136
1225000.0,4.0,4.5,5420,101930,1.0,0,0,3,1530,13,0,13,0.05073731567108223,98053
885000.0,4.0,2.5,2830,5000,2.0,0,0,3,0,19,0,19,0.3436640839790053,98105
453246.0,3.0,2.5,2010,2287,2.0,0,0,3,620,0,0,0,0.039990002499375156,98029
927000.0,4.0,2.75,3300,12090,2.0,0,0,3,0,61,0,61,0.001999500124968758,98004
490000.0,2.0,2.5,1230,1391,2.0,0,0,3,360,10,1,11,0.3436640839790053,98112
341000.0,3.0,1.5,1720,7119,1.5,0,0,4,0,62,0,62,0.02749312671832042,98155
235000.0,1.0,1.0,810,2451,1.0,0,0,5,0,73,0,73,0.3436640839790053,98126
1200000.0,3.0,1.75,1560,8078,1.5,1,4,4,0,86,0,86,0.0189952511872032,98040
560000.0,3.0,2.0,2560,216777,1.0,0,0,3,0,28,0,28,0.03924018995251187,98092
900000.0,4.0,3.25,4700,38412,2.0,0,0,3,1280,36,0,36,0.06248437890527368,98005
255000.0,2.0,1.0,1220,2500,1.0,0,0,3,450,104,1,8,0.3436640839790053,98126
1575000.0,5.0,2.75,3650,20150,1.0,0,0,4,1290,39,0,39,0.06248437890527368,98004
