bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,house_age,is_renovated,years_since_renovation,city_target_enc
3.0,2.0,1340,1384,3.0,0,0,3,0,6,0,6,570223.1185050136
4.0,3.25,3540,159430,2.0,0,0,3,0,7,0,7,549237.5
5.0,6.5,7270,130017,2.0,0,0,3,850,4,0,4,602238.7424242424
3.0,2.25,998,904,2.0,0,0,3,200,7,0,7,573185.0026954178
5.0,2.75,3060,7015,1.0,0,0,5,1460,35,0,35,574543.2427470535
3.0,2.5,2130,6969,2.0,0,0,3,0,11,0,11,339211.3264705882
4.0,2.0,2520,6000,1.0,0,0,3,1120,93,1,7,583475.1987418453
4.0,1.0,1940,9533,1.0,0,0,3,860,52,1,11,306368.0406504065
3.0,2.5,1350,1250,3.0,0,0,3,80,8,0,8,583475.1987418453
4.0,2.5,2160,5298,2.5,0,0,4,0,112,0,112,573185.0026954178
3.0,2.5,1370,1350,2.0,0,0,3,360,7,0,7,573185.0026954178
4.0,4.5,5420,101930,1.0,0,0,3,1530,13,0,13,664018.5575757576
4.0,2.5,2830,5000,2.0,0,0,3,0,19,0,19,583475.1987418453
3.0,2.5,2010,2287,2.0,0,0,3,620,0,0,0,602238.7424242424
4.0,2.75,3300,12090,2.0,0,0,3,0,61,0,61,1786342.857142857
2.0,2.5,1230,1391,2.0,0,0,3,360,10,1,11,573185.0026954178
3.0,1.5,1720,7119,1.5,0,0,4,0,62,0,62,423979.98295454547
1.0,1.0,810,2451,1.0,0,0,5,0,73,0,73,583475.1987418453
3.0,1.75,1560,8078,1.5,1,4,4,0,86,0,86,1182030.1090909091
3.0,2.0,2560,216777,1.0,0,0,3,0,28,0,28,308362.248
4.0,3.25,4700,38412,2.0,0,0,3,1280,36,0,36,859295.1570351758
2.0,1.0,1220,2500,1.0,0,0,3,450,104,1,8,574543.2427470535
5.0,2.75,3650,20150,1.0,0,0,4,1290,39,0,39,854623.3027093596
3.0,3.25,2170,12508,1.5,0,0,5,520,86,1,44,1204170.349206349
4.0,2.25,2540,228254,1.0,0,0,3,1090,24,1,5,420648.1666666667
2.0,1.0,910,4500,1.5,0,0,4,0,108,1,24,570223.1185050136
4.0,2.5,2980,4930,2.0,0,0,3,90,14,0,14,881585.4168316831
4.0,1.75,2120,4650,1.0,0,1,3,930,63,1,20,573185.0026954178
4.0,3.5,3460,3997,2.0,0,0,3,900,10,1,11,573185.0026954178
5.0,3.0,2480,10090,1.0,0,0,3,1180,10,1,11,583475.1987418453
3.0,2.25,2200,16921,2.0,0,0,3,0,27,1,14,351942.0882352941
4.0,2.0,1730,5500,1.0,0,0,5,720,71,0,71,570223.1185050136
3.0,2.5,2920,34527,1.0,0,4,4,1120,60,1,31,583475.1987418453
3.0,1.0,990,8012,1.0,0,0,4,0,48,0,48,379453.5624401914
4.0,2.5,3040,6887,2.0,0,0,3,0,15,0,15,701918.4194214876
5.0,3.0,4530,258746,1.5,0,0,4,1330,11,0,11,607079.2441860465
3.0,1.5,1370,8470,1.0,0,0,4,0,53,1,13,308362.248
3.0,2.5,1940,4927,2.0,0,0,3,0,10,1,11,376968.54547619045
3.0,2.5,1040,2643,2.0,0,0,3,320,10,1,11,574543.2427470535
4.0,2.25,1800,8623,1.0,0,0,4,440,34,0,34,654481.2884615385
3.0,1.75,1720,5000,1.0,0,0,3,0,60,1,0,573185.0026954178
3.0,1.0,980,6380,1.0,0,0,3,220,73,1,20,570223.1185050136
4.0,2.5,3110,6142,2.0,0,0,3,0,10,1,11,659713.198757764
5.0,3.0,2100,7715,1.0,0,0,3,850,1,1,91,345010.7211538461
3.0,1.5,2020,11358,1.0,0,0,4,830,58,0,58,675464.6038732395
4.0,1.75,2350,11914,1.0,0,0,4,0,53,1,13,1204170.349206349
4.0,2.25,3290,12329,1.5,0,0,4,0,46,0,46,1223622.0
5.0,2.25,2180,7813,2.0,0,0,3,0,28,0,28,339211.3264705882
2.0,2.25,1290,1334,3.0,0,0,3,0,7,0,7,570223.1185050136
3.0,1.0,1460,9750,1.0,0,0,4,0,45,0,45,297151.21774193546
2.0,1.0,1290,2828,2.0,0,0,3,0,6,0,6,664018.5575757576
4.0,2.5,2350,3150,1.5,0,0,4,660,104,0,104,583475.1987418453
3.0,1.0,1080,8100,1.0,0,0,4,0,59,1,5,433780.94444444444
4.0,2.5,2670,13463,2.0,0,0,4,0,25,0,25,602238.7424242424
4.0,3.25,3680,5759,2.0,0,0,3,840,11,0,11,611394.2276422764
3.0,1.75,1440,8040,1.0,0,0,3,480,63,1,20,573185.0026954178
4.0,1.75,1940,4800,1.0,0,0,5,910,92,1,58,583475.1987418453
3.0,1.0,1280,9898,1.0,0,0,3,0,46,1,17,632047.53125
3.0,2.75,2980,27144,1.5,1,2,5,800,97,0,97,372098.1818181818
3.0,1.0,970,8580,1.0,0,0,3,0,55,1,25,290510.51923076925
4.0,3.0,2110,5000,1.5,0,2,4,470,84,0,84,573185.0026954178
2.0,2.5,1480,1369,3.0,0,0,3,0,5,0,5,662070.8855421686
2.0,1.0,700,10540,1.0,0,0,3,0,61,0,61,515479.54545454547
3.0,2.0,2700,6120,1.0,0,0,4,1350,52,0,52,583475.1987418453
4.0,3.25,2330,9687,2.0,0,3,3,0,96,0,96,574543.2427470535
5.0,1.75,3380,20021,1.0,0,0,4,1690,51,0,51,1379400.0
4.0,2.75,2600,2750,1.5,0,0,3,980,78,0,78,573185.0026954178
2.0,1.75,1360,8100,1.0,0,0,3,500,39,0,39,583475.1987418453
4.0,2.5,2780,6369,1.0,0,0,3,1190,36,0,36,655071.1991869919
3.0,1.0,1250,53143,1.0,0,0,5,0,69,0,69,351942.0882352941
3.0,2.5,2620,8950,2.0,0,0,3,0,22,0,22,881585.4168316831
3.0,1.5,1350,7620,1.0,0,0,5,0,73,0,73,378731.27777777775
4.0,3.0,2400,3340,1.0,0,0,4,1200,50,0,50,576183.7791741472
4.0,2.5,2760,5000,1.5,0,0,5,1080,86,1,44,583475.1987418453
4.0,2.25,3070,16028,1.0,0,3,3,1200,38,0,38,1099543.2580645161
2.0,1.75,2040,28593,1.5,1,3,4,0,95,1,24,483484.7826086957
4.0,2.0,1770,6000,2.0,0,0,5,0,103,1,33,583475.1987418453
4.0,3.75,3490,9170,2.0,0,0,3,0,2,1,102,859215.5687192117
2.0,1.5,830,1333,2.0,0,0,3,0,9,0,9,570223.1185050136
2.0,2.5,980,895,2.0,0,0,3,310,5,0,5,573185.0026954178
3.0,2.5,1570,1433,3.0,0,0,3,0,4,0,4,583475.1987418453
4.0,3.25,3270,5187,2.0,0,0,3,160,0,0,0,659713.198757764
4.0,2.5,2160,6223,2.0,0,0,3,0,4,0,4,339211.3264705882
4.0,3.75,3280,11000,2.0,0,0,3,960,6,0,6,654481.2884615385
4.0,2.5,3360,7685,2.0,0,0,3,0,13,0,13,376968.54547619045
5.0,2.75,3150,7119,2.0,0,0,3,0,1,1,91,667110.3374233128
3.0,3.5,1810,1846,2.0,0,0,4,370,5,0,5,570223.1185050136
4.0,2.5,2740,7140,2.0,0,0,3,0,21,0,21,712166.302173913
5.0,4.75,3830,35000,1.0,0,0,3,1700,38,0,38,610245.4411764706
3.0,3.25,3190,5283,2.0,0,0,3,0,7,0,7,589927.1679389313
3.0,2.25,2350,10450,1.0,0,0,3,960,37,1,10,453958.47826086957
4.0,2.25,2510,8165,1.0,0,0,4,900,42,0,42,290510.51923076925
2.0,2.0,1680,4950,1.0,0,0,3,0,8,0,8,659713.198757764
3.0,2.0,1770,6610,1.0,0,0,4,810,60,1,35,433780.94444444444
3.0,1.0,1090,7315,1.0,0,0,5,0,33,0,33,371872.2878787879
5.0,2.5,3001,5710,2.0,0,0,3,0,8,0,8,302187.765625
5.0,3.0,2450,4591,2.0,0,0,3,0,20,0,20,570223.1185050136
3.0,3.25,3610,59677,2.0,0,0,3,1170,11,0,11,611394.2276422764
4.0,2.0,2250,7500,1.0,0,0,5,1050,58,0,58,847974.924611399
3.0,1.5,1240,7735,1.0,0,0,4,0,57,1,13,881585.4168316831
4.0,2.0,2260,6000,1.0,0,0,3,830,56,1,10,570223.1185050136
4.0,1.75,2090,8164,1.0,0,0,4,1020,51,0,51,659713.198757764
5.0,1.75,2020,7902,1.0,0,0,3,800,52,1,11,583475.1987418453
3.0,1.75,1960,5000,1.0,0,0,5,980,103,1,30,574543.2427470535
5.0,2.25,3120,16672,2.0,0,0,4,0,45,0,45,1400000.0
3.0,1.5,1250,7500,1.0,0,0,3,0,47,1,3,297151.21774193546
3.0,2.25,1490,9600,1.0,0,0,4,320,27,0,27,420648.1666666667
6.0,3.0,2890,2370,2.5,0,0,3,600,108,1,0,573185.0026954178
3.0,1.0,1900,33888,1.5,0,0,4,0,72,1,32,297123.8925619835
3.0,1.75,1680,2400,1.0,0,0,5,810,92,1,58,583475.1987418453
3.0,2.5,2030,8398,2.0,0,0,4,0,39,0,39,859215.5687192117
4.0,2.5,3740,8700,1.0,0,0,3,1480,10,1,11,377807.7863636364
3.0,1.75,1580,11750,1.0,0,0,4,400,63,1,15,573185.0026954178
3.0,2.25,1780,6120,1.5,0,0,4,390,87,0,87,576183.7791741472
2.0,1.0,910,6232,1.0,0,0,3,0,71,1,12,574543.2427470535
7.0,4.0,3440,8100,2.0,0,0,3,0,44,1,0,570223.1185050136
3.0,2.5,1740,13750,2.0,0,0,4,0,39,0,39,847974.924611399
5.0,2.5,3400,8970,1.0,0,0,4,1700,55,0,55,420507.6153846154
4.0,3.25,4400,16625,2.0,0,0,3,0,11,0,11,692567.8918918918
3.0,2.5,2010,14298,2.0,0,0,3,0,37,1,10,483484.7826086957
4.0,2.25,2710,38180,2.0,0,0,4,0,37,0,37,610245.4411764706
4.0,2.5,5300,26211,2.0,1,2,2,730,91,0,91,570223.1185050136
3.0,1.5,1310,3880,1.0,0,0,3,220,58,1,13,574543.2427470535
4.0,1.5,1950,12559,1.5,0,0,3,0,75,1,45,257737.16
3.0,1.0,1040,6535,1.0,0,0,3,0,67,1,2,583475.1987418453
3.0,1.75,1090,7200,1.0,0,0,3,0,46,1,17,655071.1991869919
2.0,0.75,650,5360,1.0,0,0,4,0,83,0,83,573185.0026954178
3.0,2.0,1480,6600,1.0,0,2,3,740,71,1,12,574543.2427470535
2.0,1.0,790,2640,1.0,0,0,3,0,41,1,1,654481.2884615385
4.0,2.5,3560,11119,1.0,0,2,3,1270,28,0,28,859215.5687192117
4.0,2.5,3000,5548,2.0,0,0,3,0,8,0,8,673746.1363636364
4.0,2.5,3490,7494,2.0,0,3,3,0,14,0,14,859215.5687192117
3.0,1.75,2340,10495,1.0,0,0,4,0,47,0,47,1182030.1090909091
3.0,1.75,1650,8254,1.0,0,0,5,590,63,0,63,420507.6153846154
3.0,2.0,1940,5820,1.5,0,0,5,790,70,0,70,583475.1987418453
5.0,3.0,3410,9600,1.0,0,0,4,1540,46,0,46,664524.1592356688
3.0,1.0,1710,4050,1.5,0,0,3,0,105,1,10,573185.0026954178
4.0,1.5,2740,4000,2.0,0,0,5,810,109,0,109,573185.0026954178
3.0,2.75,1250,892,2.0,0,0,3,210,4,0,4,573185.0026954178
3.0,2.25,2450,42180,1.0,0,0,4,0,36,1,14,306341.6666666667
3.0,1.75,1690,8190,1.0,0,0,4,0,56,1,42,859295.1570351758
4.0,1.75,1950,13320,1.0,0,0,4,580,45,0,45,854623.3027093596
5.0,2.0,2290,7125,1.0,0,0,3,1100,50,1,14,859295.1570351758
5.0,3.25,3370,17458,1.0,0,2,5,1370,32,0,32,1223622.0
3.0,1.0,1090,8640,1.0,0,0,4,0,41,0,41,372098.1818181818
3.0,1.0,1190,9486,1.0,0,0,4,0,61,1,31,583115.9090909091
5.0,4.25,3530,7924,2.0,0,0,3,0,13,0,13,1223622.0
3.0,1.0,1440,5000,2.0,0,0,3,0,104,1,8,573185.0026954178
4.0,1.75,2180,13529,1.0,0,0,3,1090,58,1,13,466114.81481481483
4.0,1.0,1410,6000,1.0,0,0,3,600,89,1,12,583475.1987418453
3.0,2.5,1950,8251,2.0,0,0,3,0,24,1,5,306983.0317460318
5.0,3.25,4860,23723,2.0,0,2,4,1040,25,0,25,1182030.1090909091
3.0,1.0,1660,7210,1.0,0,0,3,560,51,1,6,289521.22794117645
3.0,1.0,1390,12823,1.0,0,0,4,0,46,0,46,607079.2441860465
3.0,2.0,1350,14200,1.0,0,0,3,0,25,0,25,420657.71428571426
3.0,2.0,1530,5401,1.0,0,0,4,0,77,0,77,576183.7791741472
3.0,1.5,1270,5112,1.0,0,0,3,0,64,1,9,583475.1987418453
4.0,2.25,2140,6355,2.0,0,0,3,0,12,0,12,547301.5576923077
4.0,2.5,2040,5616,2.0,0,0,3,0,2,1,102,466376.511627907
3.0,3.5,2876,5086,2.0,0,0,3,516,7,0,7,632047.53125
3.0,2.5,1580,1161,2.0,0,0,3,570,6,0,6,574543.2427470535
4.0,3.5,3400,5196,2.0,0,0,3,0,2,1,102,533938.304347826
4.0,2.5,3520,6773,2.5,0,0,3,870,8,0,8,570223.1185050136
4.0,2.5,2210,4861,2.0,0,0,3,0,1,1,91,570223.1185050136
4.0,2.5,2790,5602,2.0,0,0,3,0,5,0,5,371872.2878787879
3.0,2.5,1450,5008,1.0,0,0,3,610,7,0,7,573185.0026954178
4.0,1.75,1620,4980,1.0,0,0,4,760,67,1,26,583475.1987418453
3.0,1.5,1220,1086,3.0,0,0,3,0,7,0,7,573185.0026954178
3.0,1.75,2000,5000,1.0,0,0,4,890,93,0,93,570223.1185050136
4.0,2.5,2190,7350,2.5,0,0,5,0,56,0,56,1182030.1090909091
4.0,1.75,1900,8250,1.0,0,0,4,950,59,1,5,881585.4168316831
3.0,1.0,1700,4400,1.5,0,0,4,0,108,1,24,573185.0026954178
5.0,2.5,2540,3832,2.0,0,0,5,780,85,0,85,574543.2427470535
2.0,1.0,1170,8925,1.0,0,2,3,0,103,1,35,295841.6666666667
5.0,5.0,5774,31675,1.0,0,2,3,1284,30,0,30,298547.1904761905
3.0,2.25,2120,15003,2.0,0,0,3,0,30,0,30,377807.7863636364
3.0,1.75,2170,26460,1.0,0,0,3,720,28,0,28,712166.302173913
4.0,2.75,2450,15002,1.0,0,0,5,0,40,0,40,480427.5
2.0,1.0,700,5200,1.0,0,0,5,0,62,1,16,379453.5624401914
