bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,house_age,is_renovated,years_since_renovation,city_target_enc,zip_target_enc,sqft_living_per_bathroom,lot_to_living_ratio,total_rooms,bath_bed_ratio
3.0,2.0,1340,1384,3.0,0,0,3,0,6,0,6,570223.1185050136,606082.1632653062,446.6666666666667,1.0328358208955224,5.0,0.5
4.0,3.25,3540,159430,2.0,0,0,3,0,7,0,7,549237.5,549237.5,832.9411764705883,45.036723163841806,7.25,0.65
5.0,6.5,7270,130017,2.0,0,0,3,850,4,0,4,602238.7424242424,616797.9852941176,969.3333333333334,17.88404401650619,11.5,1.0833333333333333
3.0,2.25,998,904,2.0,0,0,3,200,7,0,7,573185.0026954178,566123.421875,307.0769230769231,0.905811623246493,5.25,0.5625
5.0,2.75,3060,7015,1.0,0,0,5,1460,35,0,35,574543.2427470535,373425.72222222225,816.0,2.292483660130719,7.75,0.4583333333333333
3.0,2.5,2130,6969,2.0,0,0,3,0,11,0,11,339211.3264705882,339211.3264705882,608.5714285714286,3.271830985915493,5.5,0.625
4.0,2.0,2520,6000,1.0,0,0,3,1120,93,1,7,583475.1987418453,598663.1875,840.0,2.380952380952381,6.0,0.4
4.0,1.0,1940,9533,1.0,0,0,3,860,52,1,11,306368.0406504065,289447.0487804878,970.0,4.913917525773196,5.0,0.2
3.0,2.5,1350,1250,3.0,0,0,3,80,8,0,8,583475.1987418453,559590.6666666666,385.7142857142857,0.9259259259259259,5.5,0.625
4.0,2.5,2160,5298,2.5,0,0,4,0,112,0,112,573185.0026954178,544298.1739130435,617.1428571428571,2.452777777777778,6.5,0.5
3.0,2.5,1370,1350,2.0,0,0,3,360,7,0,7,573185.0026954178,531402.2828947369,391.42857142857144,0.9854014598540146,5.5,0.625
4.0,4.5,5420,101930,1.0,0,0,3,1530,13,0,13,664018.5575757576,696975.4117647059,985.4545454545455,18.80627306273063,8.5,0.9
4.0,2.5,2830,5000,2.0,0,0,3,0,19,0,19,583475.1987418453,930145.0333333333,808.5714285714286,1.7667844522968197,6.5,0.5
3.0,2.5,2010,2287,2.0,0,0,3,620,0,0,0,602238.7424242424,616797.9852941176,574.2857142857143,1.1378109452736318,5.5,0.625
4.0,2.75,3300,12090,2.0,0,0,3,0,61,0,61,1786342.857142857,1323936.9862068966,880.0,3.6636363636363636,6.75,0.55
2.0,2.5,1230,1391,2.0,0,0,3,360,10,1,11,573185.0026954178,1024997.5853658536,351.42857142857144,1.1308943089430894,4.5,0.8333333333333334
3.0,1.5,1720,7119,1.5,0,0,4,0,62,0,62,423979.98295454547,377329.25409836066,688.0,4.138953488372093,4.5,0.375
1.0,1.0,810,2451,1.0,0,0,5,0,73,0,73,583475.1987418453,437527.63157894736,405.0,3.025925925925926,2.0,0.5
3.0,1.75,1560,8078,1.5,1,4,4,0,86,0,86,1182030.1090909091,1182030.1090909091,567.2727272727273,5.1782051282051285,4.75,0.4375
3.0,2.0,2560,216777,1.0,0,0,3,0,28,0,28,308362.248,375611.3,853.3333333333334,84.678515625,5.0,0.5
4.0,3.25,4700,38412,2.0,0,0,3,1280,36,0,36,859295.1570351758,817478.5,1105.8823529411766,8.172765957446808,7.25,0.65
2.0,1.0,1220,2500,1.0,0,0,3,450,104,1,8,574543.2427470535,423128.77358490566,610.0,2.0491803278688523,3.0,0.3333333333333333
5.0,2.75,3650,20150,1.0,0,0,4,1290,39,0,39,854623.3027093596,1326856.5666666667,973.3333333333334,5.52054794520548,7.75,0.4583333333333333
3.0,3.25,2170,12508,1.5,0,0,5,520,86,1,44,1204170.349206349,1204170.349206349,510.5882352941176,5.76405529953917,6.25,0.8125
4.0,2.25,2540,228254,1.0,0,0,3,1090,24,1,5,420648.1666666667,420648.1666666667,781.5384615384615,89.86377952755906,6.25,0.45
2.0,1.0,910,4500,1.5,0,0,4,0,108,1,24,570223.1185050136,430721.18644067796,455.0,4.945054945054945,3.0,0.3333333333333333
4.0,2.5,2980,4930,2.0,0,0,3,90,14,0,14,881585.4168316831,809289.1351351351,851.4285714285714,1.6543624161073827,6.5,0.5
4.0,1.75,2120,4650,1.0,0,1,3,930,63,1,20,573185.0026954178,566123.421875,770.9090909090909,2.193396226415094,5.75,0.35
4.0,3.5,3460,3997,2.0,0,0,3,900,10,1,11,573185.0026954178,576457.3465346535,768.8888888888889,1.1552023121387283,7.5,0.7
5.0,3.0,2480,10090,1.0,0,0,3,1180,10,1,11,583475.1987418453,282381.0546875,620.0,4.068548387096774,8.0,0.5
3.0,2.25,2200,16921,2.0,0,0,3,0,27,1,14,351942.0882352941,351942.0882352941,676.9230769230769,7.691363636363636,5.25,0.5625
4.0,2.0,1730,5500,1.0,0,0,5,720,71,0,71,570223.1185050136,303242.85714285716,576.6666666666666,3.179190751445087,6.0,0.4
3.0,2.5,2920,34527,1.0,0,4,4,1120,60,1,31,583475.1987418453,639284.1666666666,834.2857142857143,11.824315068493151,5.5,0.625
3.0,1.0,990,8012,1.0,0,0,4,0,48,0,48,379453.5624401914,351241.91041666665,495.0,8.092929292929293,4.0,0.25
4.0,2.5,3040,6887,2.0,0,0,3,0,15,0,15,701918.4194214876,631683.0588235294,868.5714285714286,2.2654605263157896,6.5,0.5
5.0,3.0,4530,258746,1.5,0,0,4,1330,11,0,11,607079.2441860465,660496.5277777778,1132.5,57.11832229580574,8.0,0.5
3.0,1.5,1370,8470,1.0,0,0,4,0,53,1,13,308362.248,375611.3,548.0,6.182481751824818,4.5,0.375
3.0,2.5,1940,4927,2.0,0,0,3,0,10,1,11,376968.54547619045,346675.59929577465,554.2857142857143,2.5396907216494844,5.5,0.625
3.0,2.5,1040,2643,2.0,0,0,3,320,10,1,11,574543.2427470535,445100.0,297.14285714285717,2.541346153846154,5.5,0.625
4.0,2.25,1800,8623,1.0,0,0,4,440,34,0,34,654481.2884615385,805533.4016393443,553.8461538461538,4.790555555555556,6.25,0.45
3.0,1.75,1720,5000,1.0,0,0,3,0,60,1,0,573185.0026954178,544298.1739130435,625.4545454545455,2.9069767441860463,4.75,0.4375
3.0,1.0,980,6380,1.0,0,0,3,220,73,1,20,570223.1185050136,610774.3578947368,490.0,6.510204081632653,4.0,0.25
4.0,2.5,3110,6142,2.0,0,0,3,0,10,1,11,659713.198757764,628759.967032967,888.5714285714286,1.97491961414791,6.5,0.5
5.0,3.0,2100,7715,1.0,0,0,3,850,1,1,91,345010.7211538461,271166.2641509434,525.0,3.6738095238095236,8.0,0.5
3.0,1.5,2020,11358,1.0,0,0,4,830,58,0,58,675464.6038732395,825344.3576388889,808.0,5.622772277227723,4.5,0.375
4.0,1.75,2350,11914,1.0,0,0,4,0,53,1,13,1204170.349206349,1204170.349206349,854.5454545454545,5.069787234042553,5.75,0.35
4.0,2.25,3290,12329,1.5,0,0,4,0,46,0,46,1223622.0,1223622.0,1012.3076923076923,3.7474164133738603,6.25,0.45
5.0,2.25,2180,7813,2.0,0,0,3,0,28,0,28,339211.3264705882,339211.3264705882,670.7692307692307,3.5839449541284405,7.25,0.375
2.0,2.25,1290,1334,3.0,0,0,3,0,7,0,7,570223.1185050136,574002.5,396.9230769230769,1.034108527131783,4.25,0.75
3.0,1.0,1460,9750,1.0,0,0,4,0,45,0,45,297151.21774193546,336132.38095238095,730.0,6.678082191780822,4.0,0.25
2.0,1.0,1290,2828,2.0,0,0,3,0,6,0,6,664018.5575757576,696975.4117647059,645.0,2.192248062015504,3.0,0.3333333333333333
4.0,2.5,2350,3150,1.5,0,0,4,660,104,0,104,583475.1987418453,598663.1875,671.4285714285714,1.3404255319148937,6.5,0.5
3.0,1.0,1080,8100,1.0,0,0,4,0,59,1,5,433780.94444444444,384471.0,540.0,7.5,4.0,0.25
4.0,2.5,2670,13463,2.0,0,0,4,0,25,0,25,602238.7424242424,616797.9852941176,762.8571428571429,5.042322097378277,6.5,0.5
4.0,3.25,3680,5759,2.0,0,0,3,840,11,0,11,611394.2276422764,599392.1333333333,865.8823529411765,1.5649456521739131,7.25,0.65
3.0,1.75,1440,8040,1.0,0,0,3,480,63,1,20,573185.0026954178,452594.44444444444,523.6363636363636,5.583333333333333,4.75,0.4375
4.0,1.75,1940,4800,1.0,0,0,5,910,92,1,58,583475.1987418453,577872.32,705.4545454545455,2.4742268041237114,5.75,0.35
3.0,1.0,1280,9898,1.0,0,0,3,0,46,1,17,632047.53125,597260.8888888889,640.0,7.7328125,4.0,0.25
3.0,2.75,2980,27144,1.5,1,2,5,800,97,0,97,372098.1818181818,467334.3243243243,794.6666666666666,9.108724832214765,5.75,0.6875
3.0,1.0,970,8580,1.0,0,0,3,0,55,1,25,290510.51923076925,297778.6111111111,485.0,8.845360824742269,4.0,0.25
4.0,3.0,2110,5000,1.5,0,2,4,470,84,0,84,573185.0026954178,531402.2828947369,527.5,2.3696682464454977,7.0,0.6
2.0,2.5,1480,1369,3.0,0,0,3,0,5,0,5,662070.8855421686,637280.5326086957,422.85714285714283,0.925,4.5,0.8333333333333334
2.0,1.0,700,10540,1.0,0,0,3,0,61,0,61,515479.54545454547,449850.8552631579,350.0,15.057142857142857,3.0,0.3333333333333333
3.0,2.0,2700,6120,1.0,0,0,4,1350,52,0,52,583475.1987418453,600662.226744186,900.0,2.2666666666666666,5.0,0.5
4.0,3.25,2330,9687,2.0,0,3,3,0,96,0,96,574543.2427470535,1017813.976744186,548.2352941176471,4.157510729613734,7.25,0.65
5.0,1.75,3380,20021,1.0,0,0,4,1690,51,0,51,1379400.0,1264508.6,1229.090909090909,5.923372781065089,6.75,0.2916666666666667
4.0,2.75,2600,2750,1.5,0,0,3,980,78,0,78,573185.0026954178,971798.75,693.3333333333334,1.0576923076923077,6.75,0.55
2.0,1.75,1360,8100,1.0,0,0,3,500,39,0,39,583475.1987418453,807100.6571428571,494.54545454545456,5.955882352941177,3.75,0.5833333333333334
4.0,2.5,2780,6369,1.0,0,0,3,1190,36,0,36,655071.1991869919,514387.5806451613,794.2857142857143,2.2910071942446044,6.5,0.5
3.0,1.0,1250,53143,1.0,0,0,5,0,69,0,69,351942.0882352941,351942.0882352941,625.0,42.5144,4.0,0.25
